Journal Report 1 (R4),Number of Successful Full-Text Article Requests by Month and Journal,,,,,,,,,,,,,,,,,,,,
Cornell University,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Period covered by Report:,,,,,,,,,,,,,,,,,,,,,
2016-01-01 to 2016-12-31,,,,,,,,,,,,,,,,,,,,,
Date run:,,,,,,,,,,,,,,,,,,,,,
9/14/18,,,,,,,,,,,,,,,,,,,,,
Journal,Publisher,Platform,Journal DOI,Proprietary Identifier,Print ISSN,Online ISSN,Reporting Period Total,Reporting Period HTML,Reporting Period PDF,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16
Total for all journals,John Wiley and Sons,Wiley Online Library, , , , ,540993,209057,331936,33378,42946,46526,47641,44364,35223,41460,51317,54881,59369,47205,36683
AAHE-ERIC/Higher Education Research Report,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1536-0709a,AEHE,0737-1764,1536-0709,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Abacus,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-6281,ABAC,0001-3072,1467-6281,33,12,21,3,1,0,0,2,4,0,7,9,3,4,0
About Campus,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1536-0687,ABC,1086-4822,1536-0687,27,4,23,0,2,3,0,2,1,0,1,3,4,6,5
Academic Emergency Medicine,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1553-2712,ACEM,1069-6563,1553-2712,1009,242,767,72,91,82,91,47,110,128,60,72,96,111,49
Academic Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1948-7177a,DMJ,1554-1142,1948-7177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accounting & Finance,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-629X,ACFI,0810-5391,1467-629X,52,23,29,2,2,6,4,0,3,3,4,7,18,3,0
Accounting Forum,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-6303,ACCF,0155-9982,1467-6303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accounting Perspectives,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1911-3838,APR,1911-382X,1911-3838,4,0,4,0,0,0,1,0,0,0,1,0,2,0,0
Acta Anaesthesiologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1399-6576,AAS,0001-5172,1399-6576,373,141,232,20,47,32,26,24,19,27,35,52,40,29,22
Acta Archaeologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0390,AAR,0065-101X,1600-0390,11,0,11,0,1,0,9,0,0,0,0,0,1,0,0
Acta Biochimica et Biophysica Sinica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-7270,ABBS,1672-9145,1745-7270,8,1,7,0,0,1,1,0,2,0,1,2,0,1,0
Acta Biotechnologica,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-3846,2226,0138-4988,1521-3846,4,0,4,1,0,1,0,1,0,0,0,1,0,0,0
Acta Botanica Neerlandica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1438-8677a,PLB,0044-5983,1438-8677,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Acta Chimica Sinica English Edition,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1614-7065a,2434,0256-7660,1614-7065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Chirurgica Austriaca,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1563-2563,ACA,0001-544X,1563-2563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica,John Wiley and Sons,Wiley Online Library,10.1107/S0365110X,CSR,0365-110X,0365-110X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section A,John Wiley and Sons,Wiley Online Library,10.1107/S01087673,AYA,0108-7673,1600-5724,4,0,4,0,0,1,0,0,1,1,0,0,0,0,1
Acta Crystallographica Section A,John Wiley and Sons,Wiley Online Library,10.1107/S05677394,AYA,0567-7394,1600-5724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section A,John Wiley and Sons,Wiley Online Library,10.1107/S20532733,AYA,2053-2733,2053-2733,3,0,3,0,0,0,0,2,0,0,1,0,0,0,0
Acta Crystallographica Section A,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-5724a,AYA,0567-7394,1600-5724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section A,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2053-2733,AYA,2053-2733,2053-2733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section B,John Wiley and Sons,Wiley Online Library,10.1107/S01087681,AYB,0108-7681,1600-5740,3,0,3,0,1,0,0,0,0,0,0,0,2,0,0
Acta Crystallographica Section B,John Wiley and Sons,Wiley Online Library,10.1107/S05677408,AYB,0567-7408,1600-5740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section B,John Wiley and Sons,Wiley Online Library,10.1107/S20525192,AYB,2052-5192,2052-5206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section B,John Wiley and Sons,Wiley Online Library,10.1107/S20525206,AYB,2052-5206,2052-5206,7,0,7,0,0,1,0,0,0,1,3,2,0,0,0
Acta Crystallographica Section B,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-5740a,AYB,0567-7408,1600-5740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section B,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2052-5206,AYB,2052-5206,2052-5206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section C,John Wiley and Sons,Wiley Online Library,10.1107/S01082701,AYC,0108-2701,1600-5759,6,0,6,0,0,1,1,0,0,3,0,0,0,0,1
Acta Crystallographica Section C,John Wiley and Sons,Wiley Online Library,10.1107/S20532296,AYC,2053-2296,2053-2296,18,0,18,0,0,0,0,11,1,0,1,3,2,0,0
Acta Crystallographica Section C,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-5759,AYC,0108-2701,1600-5759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section C,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2053-2296,AYC,2053-2296,2053-2296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section D,John Wiley and Sons,Wiley Online Library,10.1107/S13990047,AYD,1399-0047,1399-0047,58,0,58,2,7,2,1,5,11,9,0,6,8,7,0
Acta Crystallographica Section D,John Wiley and Sons,Wiley Online Library,10.1107/S20597983,AYD,2059-7983,2059-7983,4,0,4,0,0,0,0,0,0,1,0,1,1,1,0
Acta Crystallographica Section D,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1399-0047,AYD,1399-0047,1399-0047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section E,John Wiley and Sons,Wiley Online Library,10.1107/S16005368,AYE2,1600-5368,1600-5368,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section E,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-5368,AYE2,1600-5368,1600-5368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
